Title,Author,Date Read,Takeaway,Medium,Rank
The Rise and Fall of the Third Reich: A History of Nazi Germany,William L. Shirer,2021/01/20,"It only takes one bad actor. Someone as charismatic as Hitler will draw a following, especially if they are fanatical and preaching to a disenfranchised populace. It is not easy to find a solution to the trap that came from Hitler’s rise to power – appeasement certainly didn’t work but kneecapping probably kicked everything off to start with. I think you could argue Hitler was a strident utilitarian who believed the world would take on its best form if he was successful, value alignment is important.",audio,1
Sapiens: A Brief History of Humankind,Yuval Noah Harari,2020/10/13,Life can evolve steadily even if it makes everyone worse off (hunter-gatherers to agricultural revolution). Beliefs and trust are powerful concepts humans have control over.,audio,2
"Thinking, Fast and Slow",Daniel Kahneman,2020/10/30,"Much of human reasoning is described well by the paradigms of System 1 (fast, automatic) and System 2 (slow, effortful). Beware of the many biases and pitfalls that are inherent to the structure of the human mind.",audio,3
"Guns, Germs, and Steel: The Fates of Human Societies",Jared Diamond,2020/11/03,"Grain and animals native to the Fertile Crescent led to agriculture, East-West axis of Eurasia led to disseminating ideas and rapid advancement of European culture and innovations. Germs are abundant in early agriculture societies, European settlers wiped out up to 95% (!) of North America natives with their germs.",audio,4
The Precipice: Existential Risk and the Future of Humanity,Toby  Ord,2020/12/09,"Longtermism is very convincing, and urgent. All the risk of the next century comes from anthropogenic risk, with the bulk of that residing in the buckets of unaligned AI, engineered pandemics, and unknown anthropogenic risk. No doubt that working in this field is what I want to do.",audio,5
The Power Broker: Robert Moses and the Fall of New York,Robert A. Caro,2020/10/16,People that can command game theory power relations in real time can do extraordinary things. Be wary of incentives in politics.,audio,6
Destined for War: Can America and China Escape Thucydides’s Trap?,Graham Allison,2021/01/23,"China is soon to be (if not already) the leading global power. 12/16 of the identified cases in which a rising power has displaced an established power have resulted in war. Probably the best way to flourish is to pull the strings and develop a symbiotic relationship, like US and UK.",audio,7
The Dictator's Handbook: Why Bad Behavior is Almost Always Good Politics,"Bruce Bueno de Mesquita, Alastair Smith",2020/12/22,"Well functioning democracy makes those in power accountable to the largest ""winning coalition"". Analyzing political leaders in the context of staying in power is probably a good starting place in almost all cases. ",audio,8
Atlas Shrugged,Ayn Rand,2020/12/02,"There is room for bringing about new philosophical systems, and writing a novel imagining Utopia is probably a good way to work through the details.",audio,9
Homo Deus: A History of Tomorrow,Yuval Noah Harari,2020/10/21,"Myths are good at bringing people together and giving them common cause. Humanism is the current paradigm, but all bets are off if/when we cede the future to smarter beings.  ",audio,10
Artificial Intelligence: A Guide for Thinking Humans,Melanie Mitchell,2021/01/01,"As of 2019 AI has a long way to go before it actually understands anything, and the abstractions it makes now are very different than those that humans make.",audio,11
Franny and Zooey,J.D. Salinger,2020/03/05,"Just be, and respect people for who they are. ",print,12
The Hitchhiker's Guide to the Galaxy,Douglas Adams,2014/07/03,What is the question? There is no requirement for meaning or purpose in anything.,print,13
Exhalation,Ted Chiang,2020/06/22,It is both meaningless and unbelievably enticing to think about free will and its repercussions. And the 2nd law of thermodynamics is a real pain.,print,14
Animal Farm,George Orwell,2020/11/17,Self interested agents mixed with deceit can lead to almost universally undesirable outcomes.,audio,15
Ethics in the Real World: 86 Brief Essays on Things that Matter,Peter Singer,2020/11/10,"Medication to improve ethical reasoning could be possible, with interesting implications. Generally ethical problems can be worked through and brought to a solution after adopting a moral framework. ",audio,16
The Stand,Stephen King,2015/10/03,Good and evil only exist relevant to moral frames. Contrasting worldviews must exist in society.,print,17
Cat's Cradle,Kurt Vonnegut,2016/11/30,"A big danger brought about by new, powerful technology stems from accidental misuse, not necessarily intentionally bad actors.",print,18
Brave New World,Aldous Huxley,2019/01/02,"The state can change society’s Nash equilibrium profoundly, so that it does not agree with today’s values. What values should be preserved? Is a society full of people on Soma a utopia or a dystopia?",print,19
